ID,Name,Danceability,Energy,Key,Loudness,Mode,Speechness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,time_signature,Genre,Artists,Popularity
0Qek00T2BXn73ly9fryWfo,StayontheGround,0.63,0.677,4.0,-8.61,0.0,0.039,0.134,0.0165,0.139,0.0349,119.969,201630.0,4.0,deepchill-out,MVCA,42
7jrn1TLA8ogwYkgpvFyXxm,UsedTo-RuhdeRemix,0.648,0.708,10.0,-6.263,1.0,0.0398,0.36,1.46e-06,0.10300000000000001,0.377,101.974,188836.0,4.0,deepchill-out,Sandro Cavazza,42
1eW2uQnlRoTNY1qEKGMYRG,GhostsForever,0.6759999999999999,0.619,0.0,-9.497,0.0,0.0354,0.457,0.785,0.20199999999999999,0.21,118.009,200339.0,4.0,deepchill-out,Patrick Lite,41
5YWD16ArDVsteuw8OFzxon,Mirai,0.746,0.716,9.0,-6.95,0.0,0.0595,0.22699999999999998,0.0943,0.196,0.435,108.026,180004.0,4.0,deepchill-out,Blewbird,41
1ewa0QD6s7A65nX4hd8sCN,HereWithYou-JoshuaEllisRemix,0.818,0.574,4.0,-6.117999999999999,0.0,0.11900000000000001,0.214,1.73e-06,0.268,0.7070000000000001,105.038,229873.0,4.0,deepchill-out,NLSN,41
3AkXU10Ug3sQqYIqKQCBsP,NeverLearn,0.852,0.45,8.0,-10.495999999999999,0.0,0.263,0.377,0.00132,0.0763,0.34299999999999997,105.949,154032.0,4.0,deepchill-out,LIHO,38
5Z4REyD7MeYRW8loIIcENg,IMissYou,0.655,0.813,10.0,-7.689,0.0,0.0505,0.0322,0.00352,0.299,0.308,124.124,182298.0,4.0,deepchill-out,Tokyo Project,22
5Qmek8A0RpxqIe3atQEdCf,FoolfortheLastTime-louwRemix,0.499,0.297,6.0,-12.807,0.0,0.152,0.47700000000000004,0.0829,0.14300000000000002,0.18899999999999997,99.995,218256.0,4.0,deepchill-out,SRTW,21
52dsoKTcQwmOEwSRvoD2Ae,Obviate,0.757,0.6459999999999999,6.0,-7.428,0.0,0.0712,0.29100000000000004,0.836,0.109,0.175,118.016,244265.0,4.0,deepchill-out,farfetch'd,41
3c25Jb2LH4t4vbDjd5e3fk,Runway,0.61,0.655,6.0,-8.084,0.0,0.0329,0.281,0.937,0.126,0.0861,102.002,233824.0,4.0,deepchill-out,Blewbird,3
4uEzZrN4ab8cOV6C0Q0xYj,Stronger,0.677,0.594,10.0,-7.872000000000001,1.0,0.0713,0.8490000000000001,0.284,0.14,0.183,122.993,183942.0,4.0,deepchill-out,MVCA,43
1YK8AGhdxD6nynokbwW7PQ,WinterIsComing,0.705,0.664,2.0,-7.978,1.0,0.0354,0.0948,0.000127,0.37799999999999995,0.512,109.977,151705.0,4.0,deepchill-out,Midnght,42
5RztQdaO6xcoqHGICF9tWI,Hearts,0.583,0.603,11.0,-8.206,1.0,0.0299,0.0507,0.162,0.154,0.281,100.022,218400.0,4.0,deepchill-out,Mauve,7
2rnPbvmo7j43YXDg8KI6RA,Sierra,0.66,0.9329999999999999,9.0,-4.784,0.0,0.0341,0.0342,0.812,0.193,0.568,123.013,241951.0,4.0,deepchill-out,UOAK,33
2Ke1i0eD101BcVoJIo83OW,GoodtoKnow,0.7859999999999999,0.8540000000000001,4.0,-4.909,0.0,0.0967,0.132,0.841,0.134,0.7140000000000001,120.01,168343.0,4.0,deepchill-out,Aaron Parker,21
1AmM6S2tTt7j1IEmye5eWL,MakeYouFeelLike,0.794,0.635,9.0,-9.697000000000001,1.0,0.039,0.0613,0.0030800000000000003,0.0962,0.35,117.995,187373.0,4.0,deepchill-out,Junge Junge,68
7a4aFs6bW7TUySQviVERSI,WalkAway,0.735,0.787,6.0,-6.166,0.0,0.061,0.0419,0.0,0.136,0.469,124.004,196640.0,4.0,deepchill-out,Alle Farben,64
0Q3VPp29ie0MqSsZVYWE9N,LayItontheLine,0.69,0.505,0.0,-10.555,1.0,0.0344,0.449,0.0010199999999999999,0.128,0.214,110.018,194915.0,4.0,deepchill-out,WUSA,47
